trace file for the simulation
format of the file
<event> <time> <item id> <server status> <queue size>

s2	4.60359	11	1	0
d	5.05082	11	1	2
s2	5.05082	12	1	1
d	5.1378	12	1	1
s2	5.1378	13	1	0
d	5.37647	13	0	0
s2	5.54272	18	1	0
d	5.59417	18	1	1
s2	5.59417	19	1	0
d	5.72439	19	1	1
s2	5.72439	20	1	0
d	5.72466	20	0	0
s2	6.31535	24	1	0
d	6.51362	24	0	0
s2	9.19458	31	1	0
d	9.19893	31	0	0
s2	9.52219	33	1	0
d	9.56353	33	0	0
s2	11.4858	41	1	0
d	11.6487	41	1	1
s2	11.6487	42	1	0
d	11.7197	42	0	0
s2	12.2143	44	1	0
d	12.2306	44	1	1
s2	12.2306	45	1	0
d	12.2474	45	0	0
s2	14.1843	53	1	0
d	14.2186	53	0	0
s2	15.1926	55	1	0
d	15.2744	55	1	1
s2	15.2744	56	1	0
d	15.3829	56	1	1
s2	15.3829	57	1	0
d	15.4081	57	0	0
s2	17.3761	64	1	0
d	17.4151	64	0	0
s2	17.8076	66	1	0
d	17.8323	66	0	0
s2	21.4188	74	1	0
d	21.4681	74	0	0
s2	21.6346	75	1	0
d	21.6583	75	0	0
s2	21.7134	76	1	0
d	21.9305	76	0	0
s2	22.3257	78	1	0
d	22.4473	78	0	0
s2	22.8646	81	1	0
d	23.003	81	1	1
s2	23.003	82	1	0
d	23.0032	82	0	0
s2	23.0448	83	1	0
d	23.084	83	0	0
s2	23.2776	84	1	0
d	23.5299	84	0	0
s2	24.1077	88	1	0
d	24.1713	88	0	0
s2	24.2355	90	1	0
d	24.2628	90	0	0
s2	24.2825	91	1	0
d	24.3078	91	0	0
s2	25.0418	94	1	0
d	25.129	94	1	1
s2	25.129	95	1	0
d	25.1688	95	0	0
s2	25.9655	98	1	0
d	25.992	98	0	0
s2	26.0142	99	1	0
d	26.0162	99	0	0
s2	26.0546	100	1	0
d	26.1533	100	0	0
s2	inf	36	1	0
d	inf	36	0	0
s2	inf	37	1	0
d	inf	37	0	0
s2	inf	38	1	0
d	inf	38	0	0
s2	inf	39	1	0
d	inf	39	0	0
s2	inf	40	1	0
d	inf	40	0	0
s2	inf	41	1	0
d	inf	41	0	0
s2	inf	42	1	0
d	inf	42	0	0
s2	inf	43	1	0
d	inf	43	0	0
s2	inf	44	1	0
d	inf	44	0	0
s2	inf	45	1	0
d	inf	45	0	0
s2	inf	46	1	0
d	inf	46	0	0
s2	inf	47	1	0
d	inf	47	0	0
s2	inf	48	1	0
d	inf	48	0	0
s2	inf	49	1	0
d	inf	49	0	0
s2	inf	50	1	0
d	inf	50	0	0
s2	inf	51	1	0
d	inf	51	0	0
s2	inf	52	1	0
d	inf	52	0	0
s2	inf	53	1	0
d	inf	53	0	0
s2	inf	54	1	0
d	inf	54	0	0
s2	inf	55	1	0
d	inf	55	0	0
s2	inf	56	1	0
d	inf	56	0	0
s2	inf	57	1	0
d	inf	57	0	0
s2	inf	58	1	0
d	inf	58	0	0
s2	inf	59	1	0
d	inf	59	0	0
s2	inf	60	1	0
d	inf	60	0	0
s2	inf	61	1	0
d	inf	61	0	0
s2	inf	62	1	0
d	inf	62	0	0
s2	inf	63	1	0
d	inf	63	0	0
s2	inf	64	1	0
d	inf	64	0	0
s2	inf	65	1	0
d	inf	65	0	0
s2	inf	66	1	0
d	inf	66	0	0
s2	inf	67	1	0
d	inf	67	0	0
s2	inf	68	1	0
d	inf	68	0	0
s2	inf	69	1	0
d	inf	69	0	0
s2	inf	70	1	0
d	inf	70	0	0
s2	inf	71	1	0
d	inf	71	0	0
s2	inf	72	1	0
d	inf	72	0	0
s2	inf	73	1	0
d	inf	73	0	0
s2	inf	74	1	0
d	inf	74	0	0
s2	inf	75	1	0
d	inf	75	0	0
s2	inf	76	1	0
d	inf	76	0	0
s2	inf	77	1	0
d	inf	77	0	0
s2	inf	78	1	0
d	inf	78	0	0
s2	inf	79	1	0
d	inf	79	0	0
s2	inf	80	1	0
d	inf	80	0	0
s2	inf	81	1	0
d	inf	81	0	0
s2	inf	82	1	0
d	inf	82	0	0
s2	inf	83	1	0
d	inf	83	0	0
s2	inf	84	1	0
d	inf	84	0	0
s2	inf	85	1	0
d	inf	85	0	0
s2	inf	86	1	0
d	inf	86	0	0
s2	inf	87	1	0
d	inf	87	0	0
s2	inf	88	1	0
d	inf	88	0	0
s2	inf	89	1	0
d	inf	89	0	0
s2	inf	90	1	0
d	inf	90	0	0
s2	inf	91	1	0
d	inf	91	0	0
s2	inf	92	1	0
d	inf	92	0	0
s2	inf	93	1	0
d	inf	93	0	0
s2	inf	94	1	0
d	inf	94	0	0
s2	inf	95	1	0
d	inf	95	0	0
s2	inf	96	1	0
d	inf	96	0	0
s2	inf	97	1	0
d	inf	97	0	0
s2	inf	98	1	0
d	inf	98	0	0
s2	inf	99	1	0
d	inf	99	0	0
s2	inf	100	1	0
d	inf	100	0	0
.9477	87	1	0
a	24.064	88	1	0
s1	24.1077	88	1	0
a	24.19	89	0	0
s1	24.19	89	1	0
a	24.2292	90	1	0
s1	24.2355	90	1	0
a	24.2762	91	1	0
s1	24.2825	91	1	0
a	24.5213	92	0	0
s1	24.5213	92	1	0
a	24.8751	93	0	0
s1	24.8751	93	1	0
a	25.0009	94	1	0
s1	25.0418	94	1	0
a	25.0906	95	1	0
s1	25.0955	95	1	0
a	25.7208	96	0	0
s1	25.7208	96	1	0
a	25.7752	97	0	0
s1	25.7752	97	1	0
a	25.9131	98	1	0
a	25.9486	99	1	1
s1	25.9655	98	1	1
a	25.9718	100	1	1
s1	26.0142	99	1	1
s1	26.0546	100	1	0
