trace file for the simulation
format of the file
<event> <time> <item id> <server1 status> <server2 status> <queue size>

a	0.742626	1	0	0	0
s	0.742626	1	1	0	0
d	0.799973	1	0	0
a	0.92524	2	0	0	0
s	0.92524	2	1	0	0
d	0.94647	2	0	0
a	0.984813	3	0	0	0
s	0.984813	3	1	0	0
d	1.05824	3	0	0
a	1.10137	4	0	0	0
s	1.10137	4	1	0	0
d	1.11236	4	0	0
a	1.12304	5	0	0	0
s	1.12304	5	1	0	0
d	1.15226	5	0	0
a	1.31727	6	0	0	0
s	1.31727	6	1	0	0
d	1.33248	6	0	0
a	1.35525	7	0	0	0
s	1.35525	7	1	0	0
d	1.4219	7	0	0
a	1.48756	8	0	0	0
s	1.48756	8	1	0	0
a	1.7534	9	1	0	0
s	1.7534	9	1	1	0
d	1.85434	9	0	0
a	1.9662	10	0	0	0
s	1.9662	10	1	0	0
a	1.96748	11	1	0	0
s	1.96748	11	1	1	0
d	2.0483	11	0	0
a	2.20393	12	0	0	0
s	2.20393	12	1	0	0
a	2.72842	13	1	0	0
s	2.72842	13	1	1	0
a	2.79862	14	1	1	0
d	2.82574	13	1	1	1
s	2.82574	14	1	1	0
a	2.86085	15	1	1	0
d	2.87653	14	1	1	1
s	2.87653	15	1	1	0
a	2.91629	16	1	1	0
a	2.96195	17	1	1	1
a	3.05048	18	1	1	2
d	3.05597	15	1	1	3
s	3.05597	16	1	1	2
a	3.16646	19	1	1	2
a	3.22181	20	1	1	3
a	3.24895	21	1	1	4
a	3.27338	22	1	1	5
d	3.34238	16	1	1	6
s	3.34238	17	1	1	5
a	3.34607	23	1	1	5
a	3.36079	24	1	1	6
a	3.39627	25	1	1	7
a	3.40128	26	1	1	8
a	3.40986	27	1	1	9
d	3.46213	17	1	1	10
s	3.46213	18	1	1	9
a	3.47846	28	1	1	9
a	3.56424	29	1	1	10
d	3.65709	18	1	1	11
s	3.65709	19	1	1	10
d	3.67191	19	1	1	10
s	3.67191	20	1	1	9
a	3.725	30	1	1	9
a	3.75266	31	1	1	10
a	3.77155	32	1	1	11
a	3.77191	33	1	1	12
a	3.77195	34	1	1	13
a	3.8266	35	1	1	14
d	3.82817	20	1	1	15
s	3.82817	21	1	1	14
a	3.93054	36	1	1	14
d	3.96052	21	1	1	15
s	3.96052	22	1	1	14
d	3.97794	22	1	1	14
s	3.97794	23	1	1	13
a	4.06533	37	1	1	13
a	4.17405	38	1	1	14
d	4.35199	23	1	1	15
s	4.35199	24	1	1	14
